title|llm_output|filtered_count
Hillary Clinton says Donald Trump unqualified to be president|true|10
ILLEGAL ALIEN ACCUSED Of KIDNAPPING and MURDERING 18-Yr Old Girl Is Protected By Obama’s DACA Program|fake|10
CITY OF CHICAGO Forcing Out Homeless Veterans Group To Make Space For Restaurants, Shops Around New “Obama Presidential Center”|true|10
 How The GOP Plans To Steal The Election From The American People — And Hand It To Romney|fake|9
U.S. Senator Lee to oppose motion to begin healthcare debate: AP|true|10
GUESS WHO Predicted Weiner Would “Tell The World” About Hillary’s Crimes?|fake|3
GERMAN LEFTIST USES NUDITY ON FACEBOOK To Fight Back Against “Right-Wing” News Outlets Exposing Truth About Muslim “Refugees”|fake|10
BREAKING: Trump Unveils First Ad Focusing On The Real Danger To America – NOT Global Warming!|fake|10
Obama drinks coconut water to cool down in Laos|true|9
Orlando killer expressed support for multiple Islamist groups|true|10
Russia denies it killed civilians in air strikes on Syria's Idlib|true|10
 In Effort To Hawk Phyllis Schlafly’s Book, Trump Calls Her Something Hilarious (TWEET)|fake|10
Exclusive: U.S. investigators in Russia probe look at role of Flynn partner|true|10
“THE LEFT IS WILLING To Risk Civil War In America, Nuclear War With Russia Because They’re ‘Butt-hurt’ About Losing…Let That Sink In” [VIDEO]|fake|9
 Millionaire Sean Hannity Tried To Fake Being Middle Class, Gets DESTROYED On Twitter (TWEETS)|fake|10
Exclusive: Cambodian opposition leader calls for sanctions on leadership|fake|10
Financial markets continue to price in Clinton win after debate|true|10
 Sarah Palin Gleefully Counts Bodies After MOAB Strike And Gets Ripped APART By Twitter (TWEETS)|fake|9
 Trump’s Pick To Head CIA Is A Tea Party Loon Who Supports Torture, Wants Conflict With Iran|true|10
“DRIVE THEM OUT OF YOUR PLACES OF WORSHIP!” London Imams Take President Trump’s Advice, REFUSE To Perform Funeral Rights For Islamic Terrorists [VIDEO]|fake|10
HOLLYWOOD IS SECRETLY Throwing Their Support Behind Trump|fake|10
 Veteran Trolls Trump, Launches Fundraiser To Send Him To Combat Zone|fake|10
Macau opposition gains in election after deadly typhoon|true|8
Canada pays tribute to billionaire couple after mysterious deaths|true|9
Amid South Korea freeze, China says cultural exchanges take the temperature|fake|2
REVEALED: The CIA Ran LSD Sex Houses in San Francisco in 1950s and 60s|true|10
TRUMP TAPS Anti-Iran Deal Congressman To Head CIA…The Left Goes Ballistic!|true|9
Papal official denies report Sanders invited himself to Vatican|fake|10
 Former Classmates Slam Ted Cruz: He’s About As Telegenic As An Undertaker|fake|10
YIKES! Tomi Lahren DEMOLISHES Hillary: “How Dare You Blame Donald Trump…EXCUSE ME?…Did 4 Americans Die On His Watch In Benghazi? [VIDEO]|fake|10
BEGGIN’ MEGYN KELLY’S New Book Ripped To Shreads In Amazon Reviews…Karma!|true|9
FBI interviewed Flynn in initial days of Trump administration: NYT|true|9
CRITICALLY WOUNDED GOP Rep. Steve Scalise Stood By Trump When Others Deserted Him…Recently Made Adorable Birthday Video Message With Trump For His Daughter [VIDEO]|true|10
Trump presses China on North Korea ahead of Xi talks|true|10
Senate passes funding bill, Obama signs into law|true|9
Sea surges may devastate parts of Florida: Governor Scott|true|10
U.S. Senator Menendez's corruption trial to proceed: judge|fake|4
 Donald Trump Humiliates Romney: He Would Have Dropped To His Knees To Get My Support (VIDEO)|fake|10
TRUMP SUPPORTERS In Virginia Beach Shout Down CNN AKA Clinton News Network|fake|10
SAY WHAT? Organization With Ties To Muslim Brotherhood Will Have Float In OK Veterans Day Parade|fake|9
EU more willing to consider new members in Balkans: EU commissioner|true|10
EU leaders agreed 'good progress' made in Brexit talks: Britain's May|true|10
VIETNAM RELEASES Catholic Priest Just Days Before Obama Lifts Arms Ban… Just One Prisoner?|fake|7
China pledges new funding for BRICS as group opposes protectionism|true|9
Ramping up tensions over North Korea may have dangerous consequences - Kremlin|true|10
Britain to submit 'Brexit bill' proposal before December EU meeting|true|1
Cuba urges U.S. not to politicize allegations of harmed diplomats|true|6
North Korean defectors may have been exposed to radiation, says South|true|10
UPDATE: UNDER PRESSURE? MISS USA Just Flip Flopped On Healthcare [VIDEO]|fake|10
LIVE FEED: HEARING FOR SENATOR SESSIONS To Include Radical Corey Booker Speaking Against Sessions…Unprecedented!|fake|10
 Trump’s HHS Secretary Argues That Insurers SHOULD Be Able To Charge Sick People More (VIDEO)|true|10
 WaPo Editorial Goes Full Racist, Wants To ‘Weed Out’ Voters Based On Right-Wing Testing Guidelines|fake|9
OBAMA COMMENCEMENT SPEECH To Black Graduates: You’re Just Lucky|true|10
 Vice President Joe Biden Brings Oscars To An Emotional Halt With Powerful Message (VIDEO)|fake|10
'No more woe is me': Senator McCain vows quick return to Washington|fake|3
CAN HALLOWEEN TELL US WHO’LL WIN THE WHITE HOUSE?…Guess Which Candidate Is Crushing It In Sales?|true|9
